Quarter,Subscribers
2013:Q1,34.24
2013:Q2,35.64
2013:Q3,38.01
2013:Q4,41.43
2014:Q1,46.13
2014:Q2,47.99
2014:Q3,50.65
2014:Q4,54.48
2015:Q1,59.62
2015:Q2,62.08
2015:Q3,66.02
2015:Q4,70.84
2016:Q1,77.71
2016:Q2,79.9
2016:Q3,83.28
2016:Q4,89.09
2017:Q1,94.36
2017:Q2,99.04
2017:Q3,104.02
2017:Q4,110.64
2018:Q1,118.9
2018:Q2,124.35
2018:Q3,130.42
2018:Q4,139.26
2019:Q1,148.86
2019:Q2,151.56
2019:Q3,158.33
2019:Q4,167.09
2020:Q1,182.86
2020:Q2,192.95
2020:Q3,195.15
2020:Q4,203.66
2021:Q1,207.64
2021:Q2,209.18
2021:Q3,213.56
2021:Q4,221.84
2022:Q1,221.64
2022:Q2,220.67
2022:Q3,223.09
2022:Q4,230.75
2023:Q1,232.5
2023:Q2,238.39
2023:Q3,247.15
2023:Q4,260.28
2024:Q1,269.6
2024:Q2,277.65
2024:Q3,282.72
